"Código","Nombre científico oficial"
"Broben","Bromus benekenii"
"Brocat","Bromus catharticus"
"Brocom","Bromus commutatus subsp. commutatus"
"Brodia","Bromus diandrus"
"Broere","Bromus erectus subsp. erectus"
"Brohor","Bromus hordeaceus subsp. hordeaceus"
"Bromad","Bromus madritensis"
"Brorac","Bromus racemosus"
"Broram","Bromus ramosus"
"Brorig","Bromus rigidus"
"Brorub","Bromus rubens"
"Brosqu","Bromus squarrosus"
"Broste","Bromus sterilis"
"Brotec","Bromus tectorum"
"Bryalp","Bryum alpinum"
"Bryarg","Bryum argenteum"
"Brycae","Bryum caespiticium"
"Brycap","Bryum capillare"
"Bryca2","Bryum capillare Hedw. var. platyloma"
"Brydic","Bryum dichotomum"
"Brydio","Bryonia dioica"
"Brydom","Bryophila domestica"
"Bryele","Bryum elegans"
"Bryfun","Bryum funckii"
"Brygem","Bryum gemmiparum"
"Bryint","Bryum intermedium"
"Brykli","Bryum klinggraeffii"
"Brymor","Bryum moravicum"
"Brypal","Bryum pallens"
"Brypas","Bryum pallescens"
"Brypin","Bryonicta pineti"
"Brypse","Bryum pseudotriquetrum var. pseudotriquetrum"
"Bryps2","Bryum pseudotriquetrum var. bimum"
"Bryrad","Bryum radiculosum"
"Bryrec","Bryoerythrophyllum recurvirostrum"
"Brysau","Bryum sauteri"
"Brysch","Bryum schleicheri"
"Brytor","Bryum torquescens"
"Brywei","Bryum weigelii"
"Bubbub","Bubo bubo"
"Bubibi","Bubulcus ibis"
"Buccla","Bucephala clangula"
"Bufbuf","Bufo bufo"
"Bufcal","Bufo calamita"
"Buften","Bufonia tenuifolia"
"Bupbal","Bupleurum baldense subsp. baldense"
"Bupfru","Bupleurum fruticescens"
"Buphae","Buprestis haemorrhoidalis"
"Bupmag","Buprestis magica"
"Bupnov","Buprestis novemmaculata"
"Buppin","Bupalus piniaria"
"Buppra","Bupleurum praealtum"
"Bupran","Bupleurum ranunculoides"
"Bupra2","Bupleurum ranunculoides subsp. gramineus"
"Bupra3","Bupleurum ranunculoides subsp. ranunculoides"
"Buprig","Bupleurum rigidum subsp. rigidum"
"Buprot","Bupleurum rotundifolium"
"Bupsem","Bupleurum semicompositum"
"Bupten","Bupleurum tenuissimum"
"Buroed","Burhinus oedicnemus"
"Butbut","Buteo buteo"
"Butjam","Buteo jamaicensis"
"Buxsem","Buxus sempervirens"
"Byttom","Byturus tomentosus"
"Cacalb","Cacatua alba"
"Cacmar","Cacyreus marshalli"
"Caefer","Caenoscelis ferruginea"
"Caeluc","Caenis luctuosa"
"Caemac","Caenis gr. macrura"
"Caeriv","Caenis rivulorum"
"Calalb","Calidris alba"
"Calalp","Calidris alpina"
"Calang","Callimus angulatus"
"Calarg","Calypogeia arguta"
"Calarv","Calendula arvensis"
"Calast","Calathus asturiensis"
"Calavi","Callophrys avis"
"Calazu","Calypogeia azurea"
"Calbar","Calliptamus barbarus"
"Calbip","Calambus bipustulatus"
"Calbol","Callicrania bolivari"
"Calbra","Calandrella brachydactyla"
"Calcan","Calidris canutus"
"Calcir","Calomicrus circumfusus"
"Calcom","Calephorus compressicornis"
"Calcor","Calliergon cordifolium"
"Calcus","Calliergonella cuspidata"
"Caldio","Calonectris diomedea"
"Caldom","Callimorpha dominula"
"Calepi","Calamagrostis epigejos"
"Calfer","Calidris ferruginea"
"Calfil","Calamobius filum"
"Calfis","Calypogeia fissa"
"Calfus","Calathus fuscipes"
"Calhae","Calopteryx haemorrohoidalis"
"Calirr","Calepina irregularis"
"Calita","Calliptamus italicus"
"Calleu","Callonetta leucophrys"
"Callit","Calomera littoralis"
"Calmad","Calosoma maderae"
"Calmea","Calathus melanocephalus"
"Calmel","Calidris melanotos"
"Calmin","Calidris minuta"
"Calmir","Calathus mirei"
"Calmor","Calathus moralesi"
"Calmue","Calypogeia muelleriana"
"Calnep","Calamintha nepeta subsp. sylvatica"
"Calocc","Calamodes occitanaria"
"Caloff","Calendula officinalis"
"Calpal","Callitriche palustris"
"Calpse","Calamagrostis pseudophragmites"
"Calpud","Calliteara pudibunda"
"Calrot","Calathus rotundicollis"
"Calrub","Callophrys rubi"
"Calruf","Calandrella rufescens"
"Calsep","Calystegia sepium subsp. sepium"
"Calsph","Calypogeia sphagnicola"
"Calspi","Calodromius spilotus"
"Caltem","Calidris temminckii"
"Calvir","Calopteryx virgo"
"Calvul","Calluna vulgaris"
"Calxan","Calopteryx xanthostoma"
"Cambil","Camptogramma bilineatum"
"Camcal","Campylophyllum calcareum"
"Camchr","Campyliadelphus chrysophyllus"
"Cameri","Campanula erinus"
"Camfas","Campanula fastigiata"
"Camglo","Campanula glomerata subsp. glomerata"
"Camhis","Campanula hispanica"
"Camlus","Campanula lusitanica subsp. lusitanica"
"Cammad","Campalita maderae ssp. indagator"
"Cammar","Campaea margaritata"
"Cammic","Camelina microcarpa"
"Cammon","Camphorosma monspeliaca subsp. monspeliaca"
"Campau","Campanula paui"
"Camper","Campanula persicifolia"
"Camrap","Campanula rapunculus"
"Camrot","Campanula rotundifolia"
"Camsch","Campanula scheuchzeri"
"Camste","Campylium stellatum"
"Camtra","Campanula trachelium subsp. trachelium"
"Camurb","Campanula urbionensis"
"Canlup","Canis lupus"
"Canxan","Cantharis xanthoporpa"
"Capbur","Capsella bursa-pastoris"
"Capcap","Capreolus capreolus"
"Capeur","Caprimulgus europaeus"
"Capspp","Capnia spp."
"Captec","Capnodis tenebricosa"
"Capten","Capnodis tenebrionis"
"Caraca","Carlina acanthifolia"
"Caracl","Carlina acaulis"
"Caracu","Carex acuta"
"Carac2","Carlina acanthifolia subsp. cynara"
"Carass","Carduus assoi"
"Carast","Carex asturica"
"Caraur","Carassius auratus"
"Carbae","Carcharodus baeticus"
"Carbig","Cardiophorus biguttatus"
"Carbin","Carex binervis"
"Carbre","Carex brevicollis"
"Carcab","Carduelis cannabina"
"Carcae","Carduus carpetanus"
"Carcan","Carex canescens"
"Carcao","Carex caryophyllea"
"Carcap","Carex capillaris"
"Carcar","Carduelis carduelis"
"Carcas","Cardiophorus castillanus"
"Carchl","Carduelis chloris"
"Carcla","Caradrina clavipalpis"
"Carcor","Carlina corymbosa subsp. corymbosa"
"Carcup","Carex cuprina"
"Cardem","Carex demissa"
"Cardic","Carex distachya"
"Cardii","Carex divisa"
"Cardin","Carex distans"
"Cardiu","Carex divulsa"
"Cardi2","Carex divulsa subsp. divulsa"
"Cardi3","Carex divulsa subsp. leersii"
"Cardra","Cardaria draba subsp. draba"
"Carebu","Cartallum ebulinum"
"Carech","Carex echinata"
"Carela","Carex elata subsp. elata"
"Carfla","Carex flacca subsp. flacca"
"Carfle","Cardamine flexuosa"
"Carflo","Carcharodus floccifera"
"Carfl2","Carex flacca subsp. serrulata"
"Cargua","Carabus guadarramus"
"Carhal","Carex hallerana"
"Carhem","Carpophilus hemipterus"
"Carhis","Cardamine hirsuta"
"Carhit","Carex hirta"
"Carhor","Carex hordeistichos"
"Carhum","Carex humilis"
"Carimp","Cardamine impatiens subsp. impatiens"
"Carlae","Carex laevigata"
"Carlan","Carthamus lanatus subsp. lanatus"
"Carlav","Carcharodus lavatherae"
"Carlei","Carex lepidocarpa"
"Carleo","Carex leporina"
"Carlin","Carabus lineatus"
"Carlus","Carabus lusitanicus brevis"
"Carmai","Carex mairii"
"Carmel","Carabus melancholicus"
"Carmit","Carduncellus mitissimus"
"Carmon","Carduncellus monspelliensium"
"Carmor","Caradrina morpheus"
"Carmur","Carex muricata subsp. lamprocarpa"
"Carnem","Carabus nemoralis"
"Carnig","Carex nigra"
"Carnod","Cartodere nodifer"
"Carnut","Carduus nutans subsp. nutans"
"Carorn","Carex ornithopoda"
"Carova","Carex ovalis"
"Carpal","Carex pallescens"
"Carpan","Carex panicea"
"Carpa2","Carex paniculata subsp. lusitanica"
"Carpen","Carex pendula"
"Carpil","Carex pilulifera"
"Carpra","Cardamine pratensis subsp. pratensis"
"Carpse","Carex pseudocyperus"
"Carpul","Carex pulicaris"
"Carpyc","Carduus pycnocephalus"
"Carqua","Carpophilus quadrisignatus"
"Carrem","Carex remota"
"Carrip","Carex riparia"
"Carros","Carex rostrata"
"Carsex","Carpophilus sexpustulatus"
"Carsig","Cardiophorus signatus"
"Carspi","Carex spicata"
"Carspn","Carduelis spinus"
"Carsyl","Carex sylvatica subsp. sylvatica"
"Carten","Carduus tenuiflorus"
"Carver","Carum verticillatum"
"Carvio","Carabus violaceus purpurascens"
"Carvul","Carlina vulgaris subsp. vulgaris"
"Casdef","Cassida deflorata"
"Casinq","Cassida inquinata"
"Casmau","Cassolaia maura"
"Casrub","Cassida rubiginosa"
"Cassat","Castanea sativa"
"Catalc","Cathephia alchymista"
"Cataqu","Catabrosa aquatica"
"Catcae","Catananche caerulea"
"Catcon","Catocala conjuncta"
"Catcov","Catocala conversa"
"Catcuc","Catarhoe cuculata"
"Catelo","Catocala elocata"
"Catfal","Catoptria falsella"
"Catfra","Catocala fraxini"
"Catnup","Catocala nupta"
"Catnym","Catocala nymphagoga"
"Catopt","Catocala optata"
"Catpin","Catophria pinella"
"Catpro","Catocala promissa"
"Catrub","Catarhoe rubidata"
"Catven","Catops ventricosus rotundatus"
"Caupla","Caucalis platycarpos"
"Cecdau","Cecropis daurica"
"Celarg","Celastrina argiolus"
"Celrur","Celypha rurestrana"
"Cenalb","Centaurea alba"
"Cenasp","Centaurea aspera"
"Cenas2","Centaurea aspera subsp. aspera"
"Cenas3","Centaurea aspera subsp. stenophylla"
"Cencal","Centaurea calcitrapa"
"Cenca2","Centranthus calcitrapae subsp. calcitrapae"
"Cencya","Centaurea cyanus"
"Cendeb","Centaurea debeauxii subsp. nemoralis"
"Cenery","Centaurium erythraea subsp. erythraea"
"Cener2","Centaurium erythraea subsp. grandiflorum"
"Cener3","Centaurium erythraea subsp. majus"
"Cenjac","Centaurea jacea"
"Cenlag","Centaurea lagascana"
"Cenlec","Centranthus lecoqii"
"Cenlin","Centaurea linifolia"
"Cenmel","Centaurea melitensis"
"Cenmon","Centaurea montana"
"Cennig","Centaurea nigra subsp. carpetana"
"Cenorn","Centaurea ornata"
"Cenor2","Centaurea ornata x scabiosa"
"Cenpan","Centaurea paniculata"
"Cenpa2","Centaurea paniculata subsp. castellana"
"Cenpul","Centaurium pulchellum"
"Cenrub","Centranthus ruber subsp. ruber"
"Censca","Centaurea scabiosa"
"Centen","Centaurium tenuiflorum"
"Centri","Centaurea triumfetti subsp. lingulata"
"Cenvin","Centaurea vinyalsii"
"Cenzub","Centaurea x zubiae"
"Cepamb","Cephalozia ambigua"
"Cepbau","Cephaloziella baumgartneri"
"Cepbic","Cephalozia bicuspidata"
"Cepdam","Cephalanthera damasonium"
"Cepdiv","Cephaloziella divaricata"
"Cepham","Cephaloziella hampeana"
"Cepleu","Cephalaria leucantha"
"Ceplon","Cephalanthera longifolia"
"Cepmau","Cephalota maura"
"Cepple","Cephalozia pleniceps"
"Ceprub","Cephalanthera rubra"
"Cepste","Cephaloziella stellulifera"
"Cerarv","Cerastium arvense"
"Cerbra","Cerastium brachypetalum subsp. brachypetalum"
"Cerbrc","Certhia brachydactyla"
"Cerbr2","Cerastium brachypetalum var. brachypetalum"
"Cercer","Cerambyx cerdo mirbecki"
"Cercla","Ceratocapnos claviculata"
"Cerdif","Cerastium diffusum subsp. diffusum"
"Cerebu","Certallum ebulinum"
"Cerela","Cervus elaphus"
"Cerfal","Ceratocephala falcata"
"Cerfam","Certhia familiaris"
"Cerfer","Cerylon ferrugineum"
"Cerfon","Cerastium fontanum subsp. vulgare"
"Cerglo","Cerastium glomeratum"
"Cergra","Cerastium gracile"
"Cerhis","Cerylon histeroides"
"Ceribe","Cerura iberica"
"Cerpum","Cerastium pumilum"
"Cerpur","Ceratodon purpureus"
"Cerram","Cerastium ramosissimum"
"Cerrub","Cerastis rubricosa"
"Cersch","Cerocoma schaefferi"
"Cersco","Cerambyx scopolii"
"Cersem","Cerastium semidecandrum"
"Certen","Ceriagrion tenellum"
"Cetcet","Cettia cetti"
"Cetoff","Ceterach officinarum subsp. officinarum"
"Chaale","Charadrius alexandrinus"
"Chaaur","Chaerophyllum aureum"
"Chabed","Chalcides bedriagai"
"Chabri","Chazara briseis"
"Chadel","Chamaespartium delphinense"
"Chadub","Charadrius dubius"
"Chahia","Charadrius hiaticula"
"Chahir","Chaerophyllum hirsutum"
"Chahit","Chasmatopterus hirtulus"
"Chahor","Chaetocnema hortensis"
"Chaill","Chasmatopterus illigeri"
"Chamin","Chaenorhinum minus subsp. minus"
"Chamor","Charadrius morinellus"
"Chanob","Chamaemelum nobile"
"Chaori","Chaenorhinum origanifolium"
"Chaor2","Chaenorhinum origanifolium subsp. crassifolium"
"Chaor3","Chaenorhinum origanifolium subsp. origanifolium"
"Charub","Chaenorhinum rubrifolium"
"Charup","Chaenorhinum rupestre"
"Chaseg","Chaenorhinum segoviense"
"Chaser","Chamaesyce serpens"
"Chase2","Chaenorhinum segoviense subsp. semiglabrum"
"Chastr","Chalcides striatus"
"Chasua","Chamomilla suaveolens"
"Chatem","Chaerophyllum temulentum"
"Chatib","Chaetocnema tibialis"
"Cheacr","Cheilanthes acrostica"
"Chealb","Chenopodium album"
"Cheamb","Chenopodium ambrosioides"
"Chearr","Chelis arragonensis"
"Chebon","Chenopodium bonus-henricus"
"Chebot","Chenopodium botrys"
"Checal","Chemerina caliginearia"
"Chedup","Chersophilus duponti"
"Cheexs","Chenopodium exsuccum"
"Chefol","Chenopodium foliosum"
"Cheint","Cheirolophus intybaceus"
"Cheisa","Chesias isabella"
"Cheleg","Chesias legatella"
"Chemac","Chelis maculosa"
"Chemad","Cheilanthes maderensis"
"Chemaj","Chelidonium majus"
"Chemur","Chenopodium murale"
"Chepol","Chenopodium polyspermum"
"Cheruf","Chesias rufata"
"Chevul","Chenopodium vulvaria"
"Chiniv","Chionomys nivalis / Microtus nivalis"
"Chipol","Chiloscyphus polyanthos"
"Chiron","Chironomini"
"Chletr","Chlorissa etruscaria"
"Chlfig","Chlorophorus figuratus"
"Chlhyb","Chlidonias hybridus"
"Chlhyp","Chloantha hyperici"
"Chlleu","Chlidonias leucopterus"
"Chlmia","Chloroclysta miata clara"
"Chlnig","Chlidonias niger"
"Chlnir","Chlaeniellus nigricornis"
"Chlpil","Chlorophorus pilosus"
"Chlruf","Chlorophorus ruficornis"
"Chlsar","Chlorophorus sartor"
"Chlsit","Chloroclysta siterata"
"Chlspo","Chlaenius spoliatus"
"Chltri","Chlorophorus trifasciatus"
"Chltru","Chloroclysta truncata"
"Chlvar","Chlorophorus varius"
"Chlvel","Chlaenius velutinus"
"Chlves","Chlaeniellus vestitus"
"Choarc","Chondrostoma arcasii"
"Chobig","Chorthippus biguttulus"
"Chobin","Chorthippus binotatus"
"Chobru","Chorthippus brunneus"
"Choheb","Choristoneura hebenstreitella"
"Chojuc","Chorthippus jucundus"
"Chojun","Chondrilla juncea"
"Chomie","Chondrostoma miegii"
"Chomol","Chorthippus mollis"
"Chopar","Chorthippus parallelus erythropus"
"Chosau","Chorthippus saulcy"
"Chovag","Chorthippus vagans"
"Chraff","Chrysobothris affinis"
"Chrafi","Chrysolina affinis rufofemorata"
"Chrame","Chrysolina americana"
"Chrana","Chrysolina analis"
"Chrban","Chrysolina bankii"
"Chrcha","Chrysodeixis chalcites"
"Chrcul","Chrysoteuchia culmella"
"Chrfas","Chrysolina fastuosa"
"Chrful","Chrysolina fuliginosa"
"Chrgen","Chrysanthia geniculata"
"Chrgro","Chrysolina grossa spp. chloromaura"
"Chrhae","Chrysolina haemoptera"
"Chrher","Chrysolina herbacea"
"Chrkue","Chrysolina kuesteri"
"Chrlin","Chrysocarabus lineatus ssp. basilicus"
"Chropp","Chrysosplenium oppositifolium"
"Chrpol","Chrysolina polita"
"Chrpop","Chrysomela populi"
"Chrqua","Chrysolina quadrigemina"
"Chrrid","Chroicocephalus ridibundus"
"Chrsol","Chrysobothris solieri"
"Chrver","Chrysolina vernalis"
"Chrvir","Chrysanthia viridissima"
"Chsaff","Chrysolina affinis"
"Chyspp","Chydorus spp"
"Cicari","Cicer arietinum"
"Ciccam","Cicindela campestris"
"Ciccic","Ciconia ciconia"
"Cichyb","Cicindela hybrida"
"Cicint","Cichorium intybus"
"Cicmar","Cicindela maroccana"
"Cicnig","Ciconia nigra"
"Cicplu","Cicerbita plumieri"
"Cicsil","Cicindela silvatica"
"Cicsyl","Cicindela sylvatica"
"Cidful","Cidaria fulvata"
"Cidmar","Cidnopus marginellus"
"Cidpil","Cidnopus pilosus"
"Cilgla","Cilix glaucata"
"Cilsil","Cilea silphoides"
"Cincin","Cinclus cinclus"
"Cinfon","Cinclidotus fontinaloides"
"Cinrip","Cinclidotus riparius"
"Ciraer","Circus aeruginosus"
"Cirarv","Cirsium arvense"
"Circra","Cirriphyllum crassinervium"
"Circya","Circus cyaneus"
"Cirech","Cirsium echinatum"
"Cireri","Cirsium eriophorum"
"Cirfil","Cirsium filipendulum"
"Cirgal","Circaetus gallicus"
"Cirlut","Circaea lutetiana subsp. lutetiana"
"Cirmon","Cirsium monspessulanum"
"Cirodo","Cirsium odontolepis"
"Cirpal","Cirsium palustre"
"Cirpyg","Circus pygargus"
"Cirpyr","Cirsium pyrenaicum"
"Cirpy2","Cirsium pyrenaicum var. longespinosum"
"Cirpy3","Cirsium pyrenaicum var. pyrenaicum"
"Cirric","Cirsium richterianum"
"Cirri2","Cirsium richterianum subsp. giraudiasii"
"Cirtub","Cirsium tuberosum"
"Cirvul","Cirsium vulgare"
"Cisalb","Cistus albidus"
"Cisbol","Cis boleti"
"Cisclu","Cistus clusii"
"Cisfag","Cis fagi"
"Cisfes","Cis festivus"
"Cisjac","Cis jacquemartii"
"Cisjun","Cisticola juncidis"
"Cislau","Cistus laurifolius"
"Cismic","Cis micans"
"Cispop","Cistus populifolius"
"Cispo2","Cistus populifolius x C. Salvifolius"
"Cispyg","Cis pygmaeus"
"Cisrug","Cis rugulosus"
"Cissal","Cistus salvifolius"
"Cisstr","Cis striatulus"
"Cisves","Cis vestitus"
"Clagla","Clamator glandarius"
"Clamar","Clanoptilus marginellus"
"Clawhi","Claopodium whippleanum"
"Clebae","Cleonymia baetica"
"Clecin","Cleora cinctaria"
"Clelic","Cleorodes lichenarius"
"Clevit","Clematis vitalba"
"Cleyva","Cleonymia yvanii"
"Cliden","Climacium dendroides"
"Clifos","Clivina fossor"
"Clocur","Clostera curtula"
"Clyari","Clytus arietis"
"Clyesp","Clytra espanoli"
"Clyjon","Clypeola jonthlaspi"
"Clyjo2","Clypeola jonthlaspi subsp. jonthlaspi"
"Clyjo3","Clypeola jonthlaspi subsp. microcarpa"
"Clyqua","Clytra quadripunctata"
"Clyrha","Clytus rhamni"
"Clytro","Clytus tropicus"
"Cnarho","Cnaemidophorus rhododactyla"
"Cobcal","Cobitis calderoni"
"Cobpal","Cobitis paludica"
"Cobpru","Cobososia pruinosa"
"Coccoc","Coccothraustes coccothraustes"
"Cocgla","Cochlearia glastifolia"
"Cocsep","Coccinella septempunctata"
"Cocstr","Cocinia striata"
"Coearc","Coenonympha arcania"
"Coecae","Coenagriom caerulescens"
"Coecly","Coelometopus clypeatus"
"Coedor","Coenonympha dorus"
"Coegly","Coenonympha glycerion"
"Coemer","Coenagrion mercuriale"
"Coepam","Coenonympha pamphilus"
"Coepue","Coenagrion puella"
"Coesci","Coenagrion scitulum"
"Coevir","Coeloglossum viride"
"Coimon","Coincya monensis subsp. cheiranthos"
"Colalf","Colias alfacariensis"
"Colapt","Colostygia aptata"
"Colarb","Colutea arborescens"
"Colatl","Colutea atlantica"
"Colatr","Colaspidema atrum"
"Colaut","Colchicum autumnale"
"Colbar","Colaspidema barbarum"
"Colbre","Colutea brevialata"
"Colcor","Colocasia coryli"
"Colcro","Colias croceus"
"Colelo","Colydium elongatum"
"Colliv","Columba livia"
"Colmin","Cololejeunea minutissima"
"Colmul","Colostygia multistragaria"
"Coloen","Columba oenas"
"Cololi","Colostygia olivata"
"Colpal","Columba palumbus"
"Colpec","Colostygia pectinataria"
"Colpen","Colotois pennaria"
"Colvie","Colon viennense"
"Combaj","Comibaena bajularia"
"Comopa","Compsoptera opacaria"
"Conali","Conistra alicia"
"Conarv","Convolvulus arvensis"
"Conbon","Conyza bonariensis"
"Conbou","Conopodium bourgaei"
"Conbre","Conopalpus brevicollis"
"Concaa","Conyza canadensis"
"Concap","Conopodium capillifolium"
"Concat","Convolvulus cantabrica"
"Concon","Conocephalum conicum"
"Condis","Conocephalus discolor"
"Conery","Conistra erytrocephala"
"Conlin","Convolvulus lineatus"
"Conmaa","Convallaria majalis"
"Conmac","Conium maculatum"
"Conmau","Conopodium majus"
"Conori","Conringia orientalis"
"Conpub","Consolida pubescens"
"Conram","Conopodium ramosum"
"Conrep","Conobathra repandana"
"Conrub","Conistra rubiginea"
"Conruo","Conistra rubiginosa"
"Consal","Conocephalum salebrosum"
"Contes","Conopalpus testaceus"
"Convac","Conistra vaccinii"
"Coplun","Copris lunaris"
"Coraus","Coronella austriaca"
"Corave","Corylus avellana"
"Corbol","Cordulegaster boltonii"
"Corcan","Corynephorus canescens"
"Corcav","Corydalis cava subsp. cava"
"Corcor","Corvus corone"
"Corcox","Corvus corax"
"Cordid","Coronopus didimus"
"Corela","Coraebus elatus"
"Corfac","Coraebus fasciatus"
"Corfas","Corynephorus fasciculatus"
"Corflo","Coroebus florentinus"
"Corflu","Corbicula fluminea"
"Corfon","Corymbia fontenayi"
"Corfru","Corvus frugilegus"
"Corgar","Coracias garrulus"
"Corgir","Coronella girondica"
"Corins","Cordicomus instabilis"
"Corint","Corydalis intermedia"
"Corixi","Corixidae"
"Corlit","Corrigiola litoralis subsp. litoralis"
"Cormin","Coronilla minima"
"Cormi2","Coronilla minima subsp. lotoides"
"Cormod","Corvus monedula"
"Cormon","Coris monspeliensis"
"Corobs","Cordalia obscura"
"Corrub","Corymbia rubra"
"Corsan","Cornus sanguinea subsp. sanguinea"
"Corsco","Coronilla scorpioides"
"Corsim","Corticarina similata"
"Corspp","Cortaderia spp"
"Corsqu","Coronopus squamatus"
"Corsul","Cordalia sulcatula"
"Cortel","Corrigiola telephiifolia"
"Corund","Coraebus undatus"
"Corval","Coronilla valentina subsp. glauca"
"Coscos","Cossus cossus"
"Coscre","Costignophos crenulatus"
"Coscri","Coscinia cribaria"
"Cosoce","Cosmorhoe ocellata"
"Cospar","Cossonus parallelepipedus"
"Costra","Cosmia trapezina"
"Cotcot","Coturnix coturnix"
"Cothor","Cotoneaster horizontalis"
"Cotint","Cotoneaster integerrimus"
"Cotjap","Coturnix japonica"
"Cotneb","Cotoneaster nebrodensis"
"Crafil","Cratoneuron filicinum"
"Cralae","Crataegus laevigata"
"Cralig","Craniophora ligustri"
"Cramon","Crataegus monogyna"
"Cramo2","Crataegus monogyna subsp. brevispina"
"Cramo3","Crataegus monogyna subsp. monogyna"
"Cratil","Crassula tillaea"
"Crealb","Crepis albida"
"Creal2","Crepis albida subsp. albida"
"Creal3","Crepis albida subsp. longicaulis"
"Creaur","Crepidodera aurata"
"Crecap","Crepis capillaris"
"Crecre","Crex crex"
"Crefoe","Crepis foetida"
"Crelam","Crepis lampsanoides"
"Cremax","Creophilus maxillosus"
"Crepul","Crepis pulchra"
"Cresan","Crepis sancta"
"Creves","Crepis vesicaria"
"Creve2","Crepis vesicaria subsp. haenseleri"
"Creve3","Crepis vesicaria subsp. vesicaria"
"Criasp","Crioceris asparagi"
"Criduo","Crioceris duodecimpunctata"
"Cristr","Cribroleptura stragulata"
"Crodar","Crocallis dardoinaria"
"Croeli","Crocallis elinguaria"
"Croery","Crocothemis erythraea"
"Cronev","Crocus nevadensis"
"Cronud","Crocus nudiflorus"
"Crorus","Crocidura russula"
"Crosqu","Crossidium squamiferum"
"Crotus","Crocallis tusciaria"
"Cruang","Crucianella angustifolia"
"Crugla","Cruciata glabra"
"Crulae","Cruciata laevipes"
"Cruped","Cruciata pedemontana"
"Cruvul","Crupina vulgaris"
"Cryalg","Cryphia algae"
"Cryand","Cryptocephalus androgyne"
"Crybad","Cryptophagus badius"
"Crybip","Cryptocephalus bipunctatus"
"Crycap","Cryptolestes capensis"
"Crychr","Cryptocephalus chrysopus"
"Crycin","Crypturgus cinereus"
"Crycoe","Cryptocephalus coerulescens"
"Crycri","Cryptogramma crispa"
"Cryden","Cryptophagus dentatus"
"Crydor","Cryptophagus dorsalis"
"Crydup","Cryptolestes duplicatus"
"Cryesc","Cryptophagus escolai"
"Cryfra","Cryptolestes fractipennis"
"Crygem","Crypsedra gemmea"
"Cryhyp","Cryptocephalus hypochoeridis"
"Crylab","Cryptophagus labilis"
"Crymic","Cryptophagus micaceus"
"Crymor","Cryptocephalus moraei"
"Cryoce","Cryptocephalus ocellatus"
"Cryoct","Cryptocephalus octoguttatus"
"Crypad","Cryptophagus pallidus"
"Crypal","Cryphia pallida"
"Crypom","Cryptocephalus pominorun"
"Crypri","Cryptocephalus primarius"
"Crypul","Cryptocephalus pulchellus"
"Crypus","Cryptolestes pusillus"
"Crypyg","Cryptocephalus pygmaeus"
"Cryqua","Cryptocephalus quadripunctatus"
"Cryqyu","Crypticus qyuisquilius pyrenaeus"
"Cryrap","Cryphia raptricula"
"Cryruf","Cryptocephalus rufipes"
"Cryrug","Cryptocephalus rugicollis"
"Crysag","Cryptophagus saginatus"
"Crysca","Cryptophagus scanius"
"Cryser","Cryptocephalus sericeus"
"Crysex","Cryptocephalus sexpustulatus"
"Crysim","Cryphia simulatricula"
"Cryspa","Cryptolestes spartii"
"Crystr","Cryptarcha strigata"
"Crysub","Cryptophagus subdepressus"
"Crytib","Cryptocephalus tibialis"
"Cryund","Cryptarcha undata"
"Cryvio","Cryptocephalus violaceus"
"Cryvit","Cryptocephalus vittatus"
"Ctecup","Ctenicera cuprea"
"Ctemol","Ctenidium molluscum"
"Cucbac","Cucubalus baccifer"
"Cuccan","Cuculus canorus"
"Cuccin","Cucujus cinnaberinus"
"Culann","Culiseta annulata"
"Culhor","Culex hortensis"
"Culimp","Culex impudicus"
"Cullon","Culiseta longiareolata"
"Culmim","Culex mimeticus"
"Culmod","Culex modestus"
"Culpip","Culex pipiens"
"Culter","Culex territans"
"Cuparg","Cupido argiades"
"Cupari","Cupressus arizonica"
"Cupmin","Cupido minimus"
"Cuposi","Cupido osiris"
"Cusapp","Cuscuta approximata"
"Cuscam","Cuscuta campestris"
"Cusepi","Cuscuta epithymum"
"Cuseur","Cuscuta europaea"
"Cyacae","Cyanistes caeruleus / Parus caeruleus"
"Cyacya","Cyanopica cyanea"
"Cyapat","Cyanolieus patagonus"
"Cyasem","Cyaniris semiargus"
"Cybmes","Cybosia mesomella"
"Cycalb","Cyclophora albiocellaria"
"Cyclin","Cyclophora linearia"
"Cycpor","Cyclophora porata"
"Cycpup","Cyclophora puppillaria"
"Cycruf","Cyclophora ruficiliaria"
"Cycspi","Cychrus spinicollis ssp. ibericus"
"Cycspn","Cychrus spinicollis"
"Cycsup","Cyclophora suppunctaria"
"Cydfag","Cydia fagiglandana"
"Cydpom","Cydia pomonella"
"Cygatr","Cygnus atratus"
"Cygolo","Cygnus olor"
"Cylelo","Cylister elongatus"
"Cylfil","Cylister filiformis"
"Cylpal","Cylindera paludosa"
"Cymcoa","Cymindis coadunata"
"Cymmur","Cymbalaria muralis"
"Cymmu2","Cymbalaria muralis subsp. Muralis"
"Cympud","Cymbalophora pudica"
"Cymsca","Cymindis scapularis"
"Cynacu","Cynanchum acutum"
"Cynbru","Cynodontium bruntonii"
"Cynche","Cynoglossum cheirifolium"
"Cyncre","Cynoglossum creticum"
"Cyncri","Cynosurus cristatus"
"Cyndac","Cynodon dactylon"
"Cyndio","Cynoglossum dioscoridis"
"Cynech","Cynosurus echinatus"
