"Código","Nombre oficial","Autor","Definición oficial"
"217026","Comunidad de Marsilea strigosa y Callitriche brutia","","Bonales con Marsilea strigosa y Callitriche brutia"
"217030","Preslion cervinae","Br.-Bl. ex Moor 1937","Bonales de invierno y primavera silicícolas mediterráneos con mucho nivel de agua"
"217031","Juncetum nanae","Rivas-Martínez 1964","Bonales de invierno y primavera silicícolas con junco enano"
"217032","Junco pygmaei-Isoetetum velati","Rivas Goday 1956","Bonales de invierno y primavera silicícolas con Isoetes velatum"
"217033","Eryngio corniculati-Preslietum cervinae","Rivas Goday 1957","Bonales de invierno y primavera silicícolas con cardo cornudo"
"217034","Preslio cervinae-Littorelletum uniflorae","G. Navarro (1986) ined.","Bonales con Preslia cervina y Littorella uniflora"
"217035","Cypero badii-Preslietum cervinae","Rivas Goday 1956","Bonales de invierno y primavera silicícolas con Sysimbrella aspera"
"217040","Cicendion","(Rivas Goday in Rivas Goday & Borja 1961) Br.-Bl. 1967","Bonales de invierno y primavera silicícolas mediterráneos pluviestacional oceánicos"
"217041","Loto subbiflori-Chaetopogonetum fasciculati","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Bonales de invierno y primavera silicícolas con Chaetopogon fasciculatus"
"217042","Hyperico humifusi-Cicendietum filiformis","Rivas Goday (1964) 1970","Bonales de invierno y primavera silicícolas con Cicendia filiformis"
"217043","Sedetum lagascae","Rivas-Martínez, Fernández González, Sánchez-Mata & Sardinero in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Bonales de invierno y primavera silicícolas con Sedum lagascae Bonales de invierno y primavera silicícolas"
"217044","Junco pygmaei-Illecebretum verticillati","(Bellot 1953) Tüxen 1958","Bonales de invierno y primavera silicícolas con junco pigmeo"
"217045","Laurentio michelii-Juncetum tingitani","Rivas Goday & Borja in Rivas Goday 1968","Bonales de invierno y primavera silicícolas con Juncus tingitaus"
"217046","Loto subbiflori-Chaetopogonetum fasciculati","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Bonales de invierno y primavera silicícolas con Chaetopogon fasciculatus"
"217047","Lythro thymifoliae-Crassuletum vaillantii","Rivas Goday ex Ruiz & A. Valdés 1987","Bonales de invierno y primavera silicícolas con salicarias menores"
"217048","Myosuro-Bulliardietum vaillantii","Br.-Bl. 1936","Bonales de invierno y primavera silicícolas con colas de ratón"
"217049","Periballio laevis-Illecebretum verticillati","Rivas Goday 1954","Bonales de invierno y primavera silicícolas con Illecebrum verticillatum"
"217050","Heleochloion","Br.-Bl. 1952","Bonales de invierno y primavera silicícolas mediterráneos cosmopolitas"
"217051","Cypero micheliani-Heleochloetum alopecuroidis","Rivas Goday & E. Valdés in Rivas Goday 1970","Bonales de invierno y primavera silicícolas con de Cyperus michelianus"
"217052","Damasonio alismatis-Crypsietum aculeatae","Rivas-Martínez & Costa in Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Bonales de invierno y primaver a silicícolas con azumbar común"
"217053","Glino lotoidis-Verbenetum supinae","Rivas Goday 1964","Bonales de invierno y primavera silicicolas con verbena hembra"
"217054","Gnaphalio uliginosi-Elatinetum macropodae","Fernández-González (1988) ined.","Bonales de otoño paularenses con Gnaphalium uliginosum y Elatine macropoda"
"217055","Heleochloo schoenoidis-Fimbristyletum bisumbellatae","Br.-Bl. & Rivas Goday in Rivas Goday 1956 corr. Brullo & Minisale 1998","Bonales de invierno y primavera silicícolas con Fimbristylis dychotoma"
"217056","Lythro flexuosi-Heleochloetum schoenoidis","Rivas-Martínez 1966","Bonales de invierno y primavera silicícolas con Heleochloa schoenoides"
"217057","Polypogono maritimi-Centaurietum spicati","Alcaraz, P. Sánchez, De la Torre, Ríos & J. Alvarez 1991","Bonales de invierno y primavera silicícolas con corregüela marina"
"217058","Verbeno supinae-Gnaphalietum","Rivas Goday 1970","Bonales de invierno y primavera silicícolas con borrizas"
"217059","Verbenetum supinae","Sunding 1972","Bonales de invierno y primavera silicícolas con Verbena supina"
"217060","Lythrion tribracteati","Rivas Goday & Rivas-Martínez ex Rivas Goday 1970","Bonales de invierno y primavera calcícolas"
"217061","Gnaphalio luteo-albi-Plantaginetum intermediae","Rivas Goday & Ladero in Rivas Goday 1970","Bonales de invierno y primavera calcícolas borrizas"
"217062","Heliotropio supini-Heleochloetum schoenoidis","Rivas Goday 1956","Bonales de invierno y primavera calcícolas con tornasoles menores"
"217063","Isolepido-Lythretum castellani","Rivas Goday 1970","Bonales de invierno y primavera calcícolas con salicaria castellana"
"217070","Nanocyperion","Koch ex Libbert 1933","Bonales de invierno y primavera silicícolas submediterráneos y templados"
"217071","Cyperetum flavescentis","Koch ex Aichinger 1933","Bonales de invierno y primavera templados y submediterráneos con Cyperus flavescens"
"217072","Gnaphalio uliginosi-Peplidetum portulae","O. Bolòs 1979","Bonales de invierno y primavera templados y submediterráneos con borrizas"
"217074","Scirpo setacei-Stellarietum uliginosae","Koch ex Libbert 1932","Bonales de invierno y primavera templados con juncos de rana"
"217075","Scirpo setacei-Stellarietum uliginosae","Koch ex Libbert 1932","Bonales de invierno y primavera templados con juncos de rana"
"222010","Calamagrostion pseudophragmitis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984",""Vegetación glerícola de pedregales y bloques en las riberas de cursos conaguas torrenciales pirenaicas, orocantábricas y oroibéricas""
"222011","Erucastro nasturtiifolii-Calamagrostietum pseudophragmitis","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Vegetación glerícola de pedregales y bloques ribereños orocantábricos meridionales"
"223010","Salicion incanae","Aichinger 1933","Saucedas eurosiberianas"
"223011","Saponario-Salicetum purpureae","Tchou 1948","Mimbreras pirenaicas"
"224010","Salicion albae","Soó 1930","Saucedas albares"
"224011","Salicetum angustifolio-albae","T.E. Díaz & F. Prieto 1994","Saucedas ovetenses"
"224012","Saponario-Salicetum purpureae","Tchou 1948","Mimbreras pirenaicas"
"225010","Glaucion flavi","Br.-Bl. ex Tchou 1948","Vegetación glerícola de pedregales y bloques de ramblas y cauces de ríos de los territorios termo-supramediterráneos seco-subhúmedos del mediterráneo occidental"
"225011","Andryaletum ragusinae","Br.-Bl. & O. Bolòs 1958","Vegetación glerícola de cantos y gravas fluviales calcáreas de rambas y arroyos secos termo-mesomediterráneos mediterráneo-iberolevantinas"
"225012","Lactuco chondrilliflorae-Andryaletum ragusinae","Penas, T.E. Díaz, López Pacheco & M.E. García 1987","Vegetación glerícola de cantos y gravas fluviales calcáreas berciano-sanabrienses, leonesas y castellano-durienses"
"226010","Ranunculion fluitantis","Neuhäusl 1959","Comunidades dulceacuícolas de hidrófitos y batráquidos"
"226011","Callitricho lusitanicae-Ranunculetum penicillati","Pizarro 2002","Comunidades de Ranunculus pseudofluitans con Callitriche lusitanica"
"226012","Callitricho brutiae-Ranunculetum pseudofluitantis","Pizarro & Rivas-Martínez 2002","Comunidades de Ranunculus pseudofluitans y Callitriche brutia"
"227010","Chenopodion rubri","(Tüxen ex Poli & J. Tüxen 1960) Kopecký 1969","Comunidades efímeras nitrófilas de bordes de ríos"
"228010","Paspalo-Agrostion verticillati","Br.-Bl. in Br.-Bl., Roussine & Nègre 1952","Pastizales tardoestivales húmedos nitrificados"
"228011","Cyperetum distachyi","O. Bolòs & Molinier 1984","Pradera subhalófila ibicenca"
"228012","Ranunculo scelerati-Paspaletum paspalodis","Rivas Goday 1964 corr. Peinado, Bartolomé, Martínez-Parras & Ollala 1988","Pastizal ripario higronitrófilo manchego"
"228013","Paspalo distichi-Agrostietum verticillatae","Br.-Bl. in Br.-Bl., Gajewski, Wraber & Walas 1936","Gramal de agua"
"228014","Agrostio-Paspaletum vaginati","Bueno & F. Prieto in Bueno 1997","Gramal litoral subhalófilo"
"302010","Genistion micrantho-anglicae","Rivas-Martínez 1979","Brezales hidromorfos mediterráneo-ibérico-atlánticos y cantabro-atlánticos"
"302011","Carici binervis-Ericetum tetralicis","Izco ined.","Brezal-tojal hidromorfo gallego"
"302012","Erico ciliaris-Ulicetum lusitanici","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Brezal-tojal hidromorfo gaditano-onubense litoral"
"302013","Erico tetralicis-Myricetum gale","Ladero & A. Velasco in A. Velasco 1980","Brezal hidromorfo supramediterráneo oretanos"
"302014","Euphorbio polygalifoliae-Ericetum tetralicis","F. Prieto & Loidi 1984","Brezal hidromorfo supratemplado campurriano-carriones y cántabro meridional"
"302015","Erico ciliaris-Ulicetum lusitanici","Rivas-Martínez, Costa, Castroviejo & E. Valdés 1980","Brezal-tojal hidromorfo gaditano-onubense litoral"
"302016","Genisto anglicae-Ericetum tetralicis","Rivas-Martínez 1979","Brezal hidromorfo supramediterráneo berciano-sanabriense, leonés y supratemplado orocantábrico"
"302017","Genisto anglicae-Ericetum vagantis","Rivas-Martínez & Tarazona in Rivas-Martínez 1979","Brezal hidromorfo supramediterráneo oroibérico-soriano, castellano-cantábrico y leonés orocantábrico"
"302018","Genisto berberideae-Ericetum tetralicis","Bellot & Casaseca in Casaseca 1959","Brezal hidromorfo termo-mesotemplado galaico-portugues"
"302019","Thymelaeo dendrobryi-Genistetum carpetanae","Rivas-Martínez 1979","Brezal hidromorfo supra-oromediterráneo maragato-sanabriense"
"302020","Daboecion cantabricae","(Dupont ex Rivas-Martínez 1979) Rivas-Martínez, Fernández-González & Loidi 1999","Brezales, brezales-tojales y argomales cántabro-atlánticos, orocantábricos y británicos meridionales (brezales higrófilos)"
"302021","Carici binervis-Ericetum ciliaris","Oubiña & Izco ined.","Brezal-tojal meso-higrófilo gallego"
"302022","Cirsio filipenduli-Ericetum ciliaris","Br.-Bl., P. Silva & Rozeira 1965","Brezal-tojal meso-higrófilo galaico-portugues y galaico-asturiano septentrional"
"302023","Gentiano pneumonanthes-Ericetum mackaianae","Tüxen & Oberdorfer 1958","Brezal-tojal meso-higrófilo ovetense y galaico-asturiano septentrional"
"303010","Genisto-Vaccinion","Br.-Bl. 1926","Brezales subatlánticos de los Pirineos orientales"
"303012","Alchemillo saxatilis-Callunetum","Susplugas 1942","Brezal subatlántico xerófilo de los Pirineos orientales"
"303013","Chamaecytiso gallici-Callunetum","O. Bolòs 1956","Brezal subatlántico de suelos descalcificados de los Pirineos orientales"
"303014","Genisto pilosae-Callunetum","Oberdorfer 1938","Brezal subatlántico con Genista pilosa y Calluna vulgaris"
"30302A","Halimietum alyssoidi-ocymoidis","Rivas-Martínez & al. ined.","Brezal-jaral con Halimium alyssoides y H. Ocymoides"
"30302B","Halimio ocymoidis-Cistetum hirsuti","Br.-Bl., P. Silva & Rozeira 1965","Brezal-jaral mesomediterráneo y mesotemplado ribatagano-sadense, divisorio-portugues, toledano-tagano, oretano, beirense y lusitano-duriense."
"30302C","Halimio ocymoidis-Ericetum aragonensis","Rivas-Martínez 1979","Brezal supramediterráneo húmedo ayllonense y toledano-tagano"
"30302D","Halimio ocymoidis-Ericetum umbellatae","Rivas Goday 1964","Brezal meso-supramediterráneo continental y seco luso-etremadurense"
"30302E","Junipero nanae-Ericetum aragonensis","Br.-Bl., P. Silva, Rozeira & Fontes 1952","Brezal con enebro rastrero, supramediterráneo estrellense y puntualmente salmantino"
"30302F","Polygalo microphyllae-Cistetum populifolii","Rivas Goday 1964","Brezal-jaral meso-supramediterráneo mariánico-monchiquense, oretano y salmantino"
"30302G","Thymelaeo subrepentis-Ericetum aragonensis","Rivas-Martínez & G. López in G. López 1976","Brezal supramediterráneo celtibérico-alcarreño"
"30302H","Ulici eriocladi-Ericetum umbellatae","Rivas-Martínez 1979","Brezal con aulagas mesoamediterráneo araceno-pacense"
"30302I","Pterosparto lasianthi-Ericetum cinereae","Rothmaler 1954 corr. Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Brezal frío y continental galaico-portugues, beirense, lusitano-duriense, estréllense,y toledano-tagano"
"303020","Ericion umbellatae","Br.-Bl., P. Silva, Rozeira & Fontes 1952","Brezales y brezales-jarales supratemplados y supramediterráneos del centro y occidente ibérico"
"303021","Calluno vulgaris-Genistetum occidentalis","Rivas-Martínez & G. Navarro in G. Navarro 1989","Brezal con jaras y aulagas supramediterráneo moncayenses"
"303022","Cisto psilosepali-Ericetum lusitanicae","Ladero ex Rivas-Martínez 1979","Brezal hidromorfo mesomediterráneo mariánico-monchiquense y toledano-tagano"
"303023","Erico australis-Cistetum populifolii","Rivas Goday 1964","Brezal-jaral de umbrías frescas mesomediterráneas de ombroclima seco luso-extremadurenses"
"303024","Ericetum australo-andevalensis","Rivas-Martínez ined.","Brezal onubense de Erica australis y Erica andevalensis"
"303025","Erico umbellatae-Genistetum sanabrensis","Rivas-Martínez 1979","Brezal supra-oromediterráneo berciano-sanabriense"
"303026","Ulici micranthi-Pterospartetum","(Rothmaler 1954) Tüxen & Oberdofer 1958","Brezales galaicos de Pterospartum tridentatum"
"303027","Pterosparto lasianthi-Ericetum aragonensis","Rothmaler 1954 em. Rivas-Martínez 1979 corr. Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Brezal supramediterráneo berciano-sanabriense, lusitano-duriense y submediterráneo laciano-ancarense"
"303028","Genisto anglicae-Ericetum scopariae","Ruiz 1986","Brezal hidromorfo supramediterráneo luso-extremadurense"
"303029","Cytiso scoparii-Ericetum aragonensis","Tüxen & Oberdorfer 1958","Brezal-escobonal supramediterráneo urbionense y demandes"
"303030","Stauracanthion boivinii","(Rivas-Martínez 1979) Rivas-Martínez, Fernández-González & Loidi 1999","Brezales y brezales-jarales termo-supramediterráneo gaditano-algarvienses"
"303031","Genisto tridentis-Stauracanthetum boivinii","Rivas-Martínez 1979","Brezal con aulagas mesomediterráneo húmedo aljíbico"
"303032","Saturejo salzmannii-Drosophylletum lusitanici","(Galán & Vicente 1996) Rivas-Martínez 2002","Brezal con aulagas termomediterráneo húmedo aljíbico"
"30304A","Ulici europaei-Ericetum scopariae","(Rigueiro & Silva-Pando 1984) Silva-Pando 1989","Brezal-tojal meso-xerófilo gallego con Erica scoparia"
"30304B","Ulici europaei-Ericetum vagantis","Guinea 1949","Brezal-tojal meso-xerófilo termo-supramediterráneo euskaldún oriental, santanderino-vizaino y ovetense"
"30304C","Ulicetum latebracteato-minoris","Rivas-Martínez 1979","Tojal-brezal termo-mesotemplado galaico-portugues y beirense"
"303040","Daboecion cantabricae","(Dupont ex Rivas-Martínez 1979) Rivas-Martínez, Fernández-González & Loidi 1999","Brezales, brezales-tojales y argomales cántabro-atlánticos, orocantábricos y británicos meridionales"
"303041","Agrostio curtisii-Genistetum triacanthi","Izco ined.","Brezal con Genista triacanthos y Agrostis curtisii"
"303042","Pterosparto cantabrici-Ericetum aragonensis","M. Losa & P. Montserrat in Tüxen & Oberdorfer 1958","Brezal supra-orotemplado hiperhúmedo orocantábrico"
"303043","Daboecio cantabricae-Ulicetum gallii","(Br.-Bl. 1967) Rivas-Martínez 1975","Brezal-tojal meso-supratemplado húmedo-hiperhúmedo cántabro-euskaldún, ovetense y orocantábrico centro-oriental"
"303044","Erico tetralicis-Ulicetum gallii","(Tarazona & Zaldívar 1987) Loidi, F. Prieto, Bueno & Herrera in Herrera 1995","Brezal-tojal supratemplado hiper-ultrahiperhúmedo cántabro meridional"
"303045","Genisto anglicae-Daboecietum cantabricae","Báscones & Peralta in Loidi, Berastegi & García-Mijangos 1996","Brezal hidromorfo castellano-cantábrico y navarro-alavés"
"303046","Halimio alyssoidis-Ulicetum breoganii","(Rivas-Martínez 1979) Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas corr. Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousa & Penas 2002","Brezal-tojal meso-supratemplado laciano-ancarense"
"303047","Halimio umbellati-Daboecietum cantabricae","F. Prieto & Loidi ex Loidi, Berastegi & García-Mijangos 1996","Brezal xerófilo campurriano y cántabro meridional"
"303048","Ulici gallii-Ericetum ciliaris","Br.-Bl. 1967","Brezal-tojal higrófilo termotemplado húmedo-hiperhúmedo euskaldún oriental"
"303049","Ulici europaei-Ericetum cinereae","Bellot 1949","Brezal-tojal meso-xerófilo termo-mesotemplado galaico-portugues y galaico-asturiano septentrional"
"303050","Cistion ladaniferi","Br.-Bl. ex A. & O. Bolòs 1950","Jarales acidófilas del litoral ibérico mediterráneo"
"303051","Ampelodesmo mauritanicae-Ericetum scopariae","O. Bolòs, Molinier & P. Montserrat 1970","Brezal-jaral acidófilo menorquín de brezo de escobas."
"303060","Cistion laurifolii","Rivas Goday in Rivas Goday, Borja, Monasterio, Galiano & Rivas-Martínez 1956","Jarales acidófilos mediterráneo ibérico occidentales y centrales"
"303061","Erico arboreae-Arctostaphyletum crassifoliae","Rivas-Martínez 1968","Jarales de estepa con gayuba iberico-sorianos, guadarrámicos y celtibérico-alcarreños"
"303062","Erico arboreae-Arctostaphyletum crassifoliae","Rivas-Martínez 1968","Jarales de estepa con gayuba iberico-sorianos, guadarrámicos y celtibérico-alcarreños"
"303063","Erico scopariae-Cistetum populifolii","O. Bolòs 1957","Brezal de escoba con jara maestracense y celtibérico-alcarreño."
"303070","Ericion arboreae","(Rivas-Martínez ex Rivas-Martínez, Costa & Izco 1986) Rivas-Martínez 1987","Comunidades acidófilas de margen de bosque y maquias seriales mediterráneas occidentales (brezales)"
"303071","Ericetum scopario-arboreae","Mateo 1983","Matorral silicícola de brezos de escoba y brezo arbóreo maestracense y valenciano-tarraconense"
"304010","Dactylido maritimae-Ulicion maritimi","Géhu 1975",""Brezales-tojales aerohalófilos de los acantilados litorales cántabro-atlánticosy divisorio-portugueses""
"304011","Angelico pachycarpae-Ulicetum maritimae","F. Prieto & Loidi 1984","Brezal-tojal aerohalófilo de los acantilados litorales galaico-asturiano septentrionales y ovetenses occidentales"
"304012","Cisto salviifolii-Ulicetum humilis","Br.-Bl., P. Silva & Rozeira 1965","Brezal-tojal aerohalófilo de los acantilados litorales galaico-portugueses meridionales"
"304013","Genisto occidentalis-Ulicetum maritimi","Rivas-Martínez & C. Navarro in C. Navarro 1983","Brezal-tojal con aulagas aerohalófilo de los acantilados calcareos cántabro-euskaldunes"
"304014","Sileno maritimae-Ulicetum humilis","Rivas-Martínez 1979","Brezal-tojal con aulagas aerohalófilo de los acantilados galaico-portugueses septentrionales"
"304015","Ulici humilis-Ericetum vagantis","F. Prieto & Loidi 1984","Brezal-tojal con aulagas aerohalófilo de los acantilados de calizas duras ovetenses orientales y cántabro-euskaldunes"
"305010","Myrico fayae-Ericion arboreae","Oberdorfer 1965","Comunidades de brezal o de fayal-brezal"
"305011","Myrico fayae-Ericetum arboreae","Oberdorfer 1965","Brezal o Fayal-Brezal"
"305020","Ixantho viscosae-Laurion novocanariensis","Oberdorfer ex Santos in Rivas-Mar­tínez, Arnaiz, Barreno & Crespo 1977 corr. (addenda)","Monteverde"
"305021","Ilici canariensis-Ericetum platycodonis","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Brezal de crestería con tejo"
"306010","Loiseleurio-Vaccinion","Br.-Bl. in Br.-Bl. & Jenny 1926","Matorrales pirenaicos"
"306011","Carici curvulae-Empetretum hermaphroditi","Rivas-Martínez (1968) 1987","Matorrales pirenáicos de Empetrum hermaphroditum"
"306012","Luzulo luteae-Loiseleurietum procumbentis","(Rivas-Martínez 1968) Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Matorrales de Loiseleuria procumbens"
"306013","Salici pyrenaicae-Arctostaphyletum alpini","Rivas-Martínez, Báscones, T.E. Díaz, Fernández-González & Loidi 1991","Matorrales prepirenáicos con gayubas y sauce de Pirineos"
"306020","Rhododendro-Vaccinion","Br.-Bl. ex G. & J. Br.-Bl. 1931","Comunidades orotempladas pirenaicas de Rhododendron ferrugineum (matorrales subalpinos)"
"306021","Rhododendro ferruginei-Pinetum uncinatae","Rivas-Martínez 1968","Pinares orotemplados pirenaicos de pino negro y rododendros (matorrales subalpinos)"
"306022","Rhododendro ferruginei-Saxifragetum geranioidis","Br.-Bl. in Br.-Bl.,Sissingh & Vlieger 1939","Matorrales orotemplados pirenaicos de Rhododendron ferrugineum"
"306030","Juniperion nanae","Br.-Bl. in Br.-Bl., Sissingh & Vlieger 1939","Bosques de coníferas criorotemplados de distribución pirenaica, orocantábrica, berciano-sanabrense y estrellense (matorrales)"
"306031","Arctostaphylo uvae-ursi-Pinetum uncinatae","Rivas-Martínez 1968","Pinares orotemplados pirenaicos de pino negro y gayuba (matorral)"
"306032","Daphno cantabricae-Arctostaphyletum uvae-ursi","Rivas-Martínez, Izco & Costa 1971","Enebrales rastreros orotemplados orocantábricos con gayubas y torviscos machos"
"306033","Junipero nanae-Vaccinietum microphylli","Rivas-Martínez ex F. Prieto 1983 corr. Loidi & Biurrun 1996","Enebrales rastreros orotemplados orocantábricos silicícolas con arándano negro"
"306040","Pino ibericae-Juniperion sabinae","Rivas Goday ex Rivas Goday & Borja 1961 corr. Rivas-Martínez & J.A. Molina in Rivas-Martínez, Fernández-González & Loidi 1999 ","Mesobosques de coníferas castellanos y aragoneses (matorrales)"
"306041","Daphno hispanicae-Pinetum nevadensis","Rivas-Martínez 1965 corr. in Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002 ","Pinares béticos oromediterráneos (matorrales)"
"306042","Ephedro nebrodensis-Juniperetum sabinae","Rivas-Martínez & G. Navarro in G. Navarro 1989","Sabinares rastreros moncayenses"
"306043","Junipero sabinae-Pinetum ibericae","Rivas Goday & Borja 1961 corr. Rivas-Martínez, T.E. Díaz, Fernández-González, Izco, Loidi, Lousã & Penas 2002","Pinares de Pinus sylvestris y Juniperus sabina (matorrales)"
"3090A0","Andryalion agardhii","Rivas-Martínez ex Rivas Goday & Mayor 1966","Tomillares dolomitícolas supra-oromediterráneos béticos"
"3090A1","Convolvulo nitidi-Andryaletum agardhii","Quézel 1953","Tomillares dolomitícolas supra-oromediterráneos alfacarino-granatenses"
"3090A2","Fumano paradoxae-Thymetum sabulicolae","P. Sánchez & Alcaraz 1993","Tomillares dolomitícolas meso-supramediterráneos subbético-murcianos y alcaracenses"
"3090A3","Helianthemo frigiduli-Pterocephaletum spathulati","Martínez-Parras & Peinado 1987","Tomillares dolomitícolas supra-oromediterráneos subbético-maginenses"
"3090A4","Helianthemo visciduli-Anthyllidetum argyrophyllae","Rivas Goday & Esteve 1972","Tomillares dolomitícolas meso-supramediterráneos almijarenses"
"3090A5","Hippocrepido eriocarpae-Pterocephaletum spathulati","(Quézel 1953) Rivas Goday & Mayor 1966","Tomillares dolomitícolas supra-oromediterráneos almijarenses"
"3090A6","Scorzonero albicantis-Pterocephaletum spathulati","Martínez-Parras & Peinado 1987","Tomillares dolomitícolas supra-oromediterráneos cazorlenses y alcaracenses"
"3090A7","Thymo granatensis-Arenarietum tomentosae","Mota & F. Valle 1992","Tomillares dolomitícolas meso-supramediterráneos serrano-bacenses y serrano-estancienses"
"3090B0","Xeroacantho-Erinaceion","(Quézel 1953) O. Bolòs 1967","Matorrales pulviniformes espinosos supra-oromediterráneos béticos"
"3090B1","Astragalo boissieri-Festucetum hystricis","Quézel 1953","Matorrales pulviniformes oromediterráneos malacitano-almijarenses y alpujarreño-gadorenses"
"3090B2","Erinaceo anthyllidis-Genistetum longipedis","O. Bolòs & Rigual in O. Bolòs 1967","Matorrales pulviniformes supra-oromediterráneos de Genista longipes béticos, manchego-espunenses y setabenses"
"3090B3","Saturejo gracilis-Erinaceetum anthyllidis","Rivas Goday & Borja 1961 corr. Izco & A. Molina 1989","Matorrales supra-oromediterrános de Erinacea anthyllis maestracenses"
"3090B4","Saturejo intricatae-Velletum spinosae","Rivas Goday 1968 corr. Alcaraz, P. Gómez, De la Torre, Ríos & J. Alvarez 1991","Matorrales pulviniformes oromediterráneos subbéticos y guadijeño-bacenses"
"3090C0","Cisto-Pinion canariensis","Rivas Goday & Esteve ex Esteve 1969","Matorrales de genisteas y crespas"
"3090C1","Descurainio gilvae-Plantaginetum webbii","Santos 1983","Crespar"
"3090C2","Telinetum spachianae","Del Arco & Wildpret 1983","Escobonillar"
"3090D0","Spartocytision nubigeni","Oberdorfer ex Esteve 1973","Comunidades del retamar-codesar de cumbre"
"3090D1","Erysimo scoparii-Pterocephaletum lasiospermi","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993","Comunidad de Alhelí y Rosalito de cumbre"
"3090D2","Spartocytisetum nubigeni","Oberdorfer ex Esteve 1973","Retamar de cumbre"
"3090D3","Telino benehoavensis-Adenocarpetum spartioidis","Santos 1983","Codesar de cumbre palmero"
"3090E0","Telino canariensis-Adenocarpion foliolosi","Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-Gon­zález 1993","Comunidades de retamonar, retamillar y escobonal-codesar"
"3090E1","Chamaecytiso canariae-Adenocarpetum villosi","(Sunding 1972) Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Escobonal-Codesar grancanario"
"3090E2","Micromerio benthami-Cytisetum congesti","Sunding 1972","Retamillar grancanario"
"3090E3","Telinetum canariensis","Del Arco & Wildpret 1983","Retamonar tinerfeño"
"309010","Genistion floridae","Rivas-Martínez 1974","Retamar, piornal"
"309011","Adenocarpetum argyrophylli","Rivas-Martínez, Cantó & Belmonte in Rivas-Martínez, T.E. Díaz, Fernández González, Izco, Loidi, Lousã & Penas 2002","Cenizos"
"309012","Cytiso multiflori-Sarothamnetum eriocarpi","Rivas Goday 1964","Piornales con escoba blanca toledano-taganos"
"309013","Cytiso multiflori-Sarothamnetum eriocarpi","Rivas Goday 1964","Piornales con escoba blanca toledano-taganos"
"309014","Cytiso reverchoni-Adenocarpetum decorticantis","Valle 1981 corr. Rivas-Martínez, Fernández-González & Loidi 1999","Escobonal con rompesayos nevadense"
"309015","Genisto floridae-Adenocarpetum hispanici","Rivas-Martínez 1974","Piornales con codesos guadarrámicos."
"309016","Genisto floridae-Cytisetum scoparii","Rivas-Martínez & Cantó 1987","Piornal con escoba negra guadarrámico"
"309017","Thymo mastichinae-Cytisetum multiflori","Rivas-Martínez 1968","Jaral-piornal de escoba blanca gredense"
"309018","Comunidad de Genista florida","","Piornales de Genista florida"
"30902A","Lavandulo sampaioanae-Cytisetum multiflori","Br.-Bl., P. Silva & Rozeira 1965","Escobonal blancos con cantueso."
"309020","Genistion polygaliphyllae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Piornales y escobonales acidófilos orocantábricos, carpetano leoneses occidentales, cántabro-euskaldunes y oroibérico-sorianos"
"309021","Cytiso cantabrici-Genistetum obtusirameae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Piornales de genista y piorno asturiano"
"309022","Cytiso cantabrici-Genistetum polygaliphyllae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Piornal asturiano con escobonales"
"309023","Cytiso scoparii-Genistetum polygaliphyllae","Rivas-Martínez, T.E. Díaz, F. Prieto, Loidi & Penas 1984","Escobonales y piornales de escoba negra"
"309024","Cytiso striati-Genistetum polygaliphyllae","Rivas-Martínez 1981","Escobonales y piornales de xesteira"
"309025","Echinospartetum iberici","Rivas-Martínez 1974 corr. Rivas-Martínez, Lousã, T.E. Díaz, Fernández-Gonzalez & J.C. Costa 1990","Cambrional salmantino, orensano-sanabriense y estrellense"
"309026","Genisto falcatae-Ericetum arboreae","Ortiz, Amigo & Izco 1991","Matorrles de gatiña y brezo blanco"
